,stravaID,date,activity,distance,time
0,7109176766,2022-05-08,Inne,1.2,0 days 00:21:04
1,7107527286,2022-05-07,Inne,1.0,0 days 00:14:09
2,7104315869,2022-05-07,Inne,11.7,0 days 06:48:53
3,7100969851,2022-05-07,Inne,1.0,0 days 00:15:37
4,7100970251,2022-05-06,Inne,6.6,0 days 05:45:08
5,7093222258,2022-05-05,Bieg,11.0,0 days 01:09:52
6,7087541210,2022-05-03,Inne,3.4,0 days 00:43:09
7,7078601780,2022-05-03,Bieg,5.5,0 days 01:14:00
8,7072885130,2022-05-01,Inne,4.4,0 days 01:00:48
9,7071379523,2022-05-01,Kolarstwo,45.6,0 days 05:56:32
10,7059712266,2022-04-29,Bieg,8.2,0 days 00:46:32
11,7049628008,2022-04-27,Bieg,14.3,0 days 01:23:06
12,7028625761,2022-04-23,Inne,27.1,0 days 08:31:23
13,7017992999,2022-04-21,Bieg,15.0,0 days 01:25:12
14,7008181446,2022-04-19,Kolarstwo,25.4,0 days 01:40:43
15,6994359494,2022-04-16,Inne,0.5,0 days 00:05:15
16,6980786540,2022-04-14,Bieg,14.3,0 days 01:28:49
17,6970343982,2022-04-12,Bieg,7.6,0 days 00:43:51
18,6945475415,2022-04-07,Bieg,14.5,0 days 01:27:08
19,6935910464,2022-04-05,Bieg,6.5,0 days 00:34:35
20,6920138190,2022-04-02,Bieg,10.6,0 days 01:39:13
21,6907323290,2022-03-30,Bieg,6.1,0 days 00:34:13
22,6897337709,2022-03-28,Kolarstwo,14.9,0 days 00:55:18
23,6885054709,2022-03-26,Bieg,21.2,0 days 02:06:57
24,6866409660,2022-03-22,Bieg,5.5,0 days 00:30:18
25,6855003201,2022-03-20,Bieg,10.1,0 days 00:58:49
26,6833745302,2022-03-16,Bieg,14.1,0 days 01:23:54
27,6833743821,2022-03-13,Bieg,6.5,0 days 01:30:28
28,6816916928,2022-03-13,Bieg,10.6,0 days 00:58:16
29,6793896975,2022-03-08,Bieg,6.1,0 days 00:31:26
